team_id,title,id,match_index,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_att,ppda_def,ppda_allowed_att,ppda_allowed_def
138,Sevilla,138,0,a,0.901645,2.67586,0.901645,1.93258,4,12,2,3,0.31,l,2025-08-17 17:30:00,0,0,1,0,-1.030935,211,21,304,15
138,Sevilla,138,1,h,0.833075,1.32944,0.833075,1.32944,4,4,1,2,0.8265,l,2025-08-25 19:30:00,0,0,1,0,-0.49636499999999995,87,24,303,23
138,Sevilla,138,2,a,1.62032,2.00908,1.62032,2.00908,6,9,2,0,1.0413,w,2025-08-30 17:30:00,1,0,0,3,-0.38876,271,19,189,20
138,Sevilla,138,3,h,0.346397,0.781151,0.346397,0.781151,5,1,2,2,0.7806,d,2025-09-12 19:00:00,0,1,0,1,-0.43475400000000003,218,40,178,28
138,Sevilla,138,4,a,0.891992,0.910257,0.891992,0.166979,4,4,2,1,1.2405,w,2025-09-20 16:30:00,1,0,0,3,0.725013,196,25,255,32
138,Sevilla,138,5,h,0.83617,2.40523,0.83617,2.40523,9,6,1,2,0.3876,l,2025-09-23 19:30:00,0,0,1,0,-1.56906,174,31,362,34
138,Sevilla,138,6,a,0.579597,1.89093,0.579597,1.89093,6,8,1,0,0.41759999999999997,w,2025-09-28 12:00:00,1,0,0,3,-1.3113329999999999,302,21,153,15
138,Sevilla,138,7,h,2.89414,2.4823,2.15086,1.73902,5,10,4,1,1.6833,w,2025-10-05 14:15:00,1,0,0,3,0.4118400000000002,237,25,157,21
140,Real Sociedad,140,0,a,1.04897,1.58599,1.04897,1.58599,4,9,1,1,0.9418000000000001,d,2025-08-16 19:30:00,0,1,0,1,-0.53702,242,20,218,12
140,Real Sociedad,140,1,h,1.43366,1.87234,1.43366,1.12906,5,7,2,2,0.9957,d,2025-08-24 17:30:00,0,1,0,1,0.3046,161,26,302,26
140,Real Sociedad,140,2,a,0.92221,0.45706,0.92221,0.45706,7,4,0,1,1.7485,l,2025-08-30 17:00:00,0,0,1,0,0.46514999999999995,241,25,310,16
140,Real Sociedad,140,3,h,3.14772,2.54171,2.40444,2.54171,10,6,1,2,1.778,l,2025-09-13 14:15:00,0,0,1,0,-0.13727,154,19,233,16
140,Real Sociedad,140,4,a,0.606673,2.53579,0.606673,2.53579,7,10,1,3,0.266,l,2025-09-19 19:00:00,0,0,1,0,-1.929117,286,29,288,31
140,Real Sociedad,140,5,h,2.82857,0.641137,2.82857,0.641137,11,1,1,0,2.7414,w,2025-09-24 19:30:00,1,0,0,3,2.187433,163,25,285,20
140,Real Sociedad,140,6,a,0.957079,3.00954,0.957079,3.00954,5,19,1,2,0.1971,l,2025-09-28 16:30:00,0,0,1,0,-2.052461,343,13,146,17
140,Real Sociedad,140,7,h,0.768998,0.684504,0.768998,0.684504,6,2,0,1,1.3648,l,2025-10-05 16:30:00,0,0,1,0,0.08449399999999996,262,20,246,27
141,Espanyol,141,0,h,1.41508,1.29319,1.41508,1.29319,2,17,2,1,1.5104,w,2025-08-17 19:30:00,1,0,0,3,0.12188999999999983,374,19,238,18
141,Espanyol,141,1,a,1.87234,1.43366,1.12906,1.43366,7,5,2,2,1.749,d,2025-08-24 17:30:00,0,1,0,1,-0.3046,302,26,161,26
141,Espanyol,141,2,h,1.36886,1.38167,1.36886,1.38167,6,7,1,0,1.3497,w,2025-08-31 17:30:00,1,0,0,3,-0.012809999999999988,289,20,226,19
141,Espanyol,141,3,h,2.67405,2.03185,1.93077,1.28857,3,3,3,2,1.8810000000000002,w,2025-09-15 19:00:00,1,0,0,3,0.6422000000000001,268,13,192,22
141,Espanyol,141,4,a,0.969443,2.06136,0.969443,2.06136,2,8,0,2,0.552,l,2025-09-20 14:15:00,0,0,1,0,-1.091917,442,29,173,23
141,Espanyol,141,5,h,3.31313,1.00785,3.31313,1.00785,14,0,2,2,2.7279999999999998,d,2025-09-23 17:00:00,0,1,0,1,2.30528,209,19,249,23
141,Espanyol,141,6,a,0.949116,1.07661,0.949116,1.07661,1,9,0,0,1.2116000000000002,d,2025-09-26 19:00:00,0,1,0,1,-0.1274940000000001,315,32,193,16
141,Espanyol,141,7,h,2.0699,1.43721,1.32662,1.43721,6,5,1,2,1.8734,l,2025-10-05 16:30:00,0,0,1,0,-0.11059000000000019,256,18,263,11
142,Getafe,142,0,a,1.50131,0.744247,1.50131,0.744247,6,11,2,0,2.0608,w,2025-08-17 15:00:00,1,0,0,3,0.7570629999999999,308,19,110,29
142,Getafe,142,1,a,1.32944,0.833075,1.32944,0.833075,4,4,2,1,1.8629999999999998,w,2025-08-25 19:30:00,1,0,0,3,0.49636499999999995,303,23,87,24
142,Getafe,142,2,a,0.757418,1.54336,0.757418,1.54336,2,1,0,3,0.7041999999999999,l,2025-08-29 19:30:00,0,0,1,0,-0.785942,241,20,146,15
142,Getafe,142,3,h,0.954087,0.369812,0.954087,0.369812,2,1,2,0,1.9166,w,2025-09-13 12:00:00,1,0,0,3,0.5842750000000001,233,27,158,20
142,Getafe,142,4,a,0.215949,2.96429,0.215949,2.96429,0,8,0,3,0.0664,l,2025-09-21 19:00:00,0,0,1,0,-2.748341,392,27,150,17
142,Getafe,142,5,h,0.576203,1.21176,0.576203,1.21176,2,2,1,1,0.7369,d,2025-09-24 17:00:00,0,1,0,1,-0.6355569999999999,190,25,138,30
142,Getafe,142,6,h,0.830967,1.27833,0.830967,1.27833,3,2,1,1,0.9649,d,2025-09-27 12:00:00,0,1,0,1,-0.44736299999999996,121,23,149,26
142,Getafe,142,7,a,0.856515,0.692026,0.856515,0.692026,3,0,1,2,1.4655,l,2025-10-03 19:00:00,0,0,1,0,0.164489,238,21,129,10
143,Atletico Madrid,143,0,a,1.29319,1.41508,1.29319,1.41508,17,2,1,2,1.1873,l,2025-08-17 19:30:00,0,0,1,0,-0.12188999999999983,238,18,374,19
143,Atletico Madrid,143,1,h,1.68159,0.313268,1.68159,0.313268,13,1,1,1,2.4916,d,2025-08-23 17:30:00,0,1,0,1,1.368322,255,32,271,18
143,Atletico Madrid,143,2,a,0.960547,0.855094,0.960547,0.111816,9,3,1,1,1.3203,d,2025-08-30 15:00:00,0,1,0,1,0.848731,187,34,293,14
143,Atletico Madrid,143,3,h,1.5106,0.668177,1.5106,0.668177,5,3,2,0,2.1187,w,2025-09-13 19:00:00,1,0,0,3,0.8424229999999999,200,14,370,17
143,Atletico Madrid,143,4,a,2.08772,0.530939,1.34445,0.530939,9,4,1,1,2.5861,d,2025-09-21 14:15:00,0,1,0,1,0.8135109999999999,202,9,259,18
143,Atletico Madrid,143,5,h,4.95017,1.61988,4.95017,1.61988,12,2,3,2,2.8550000000000004,w,2025-09-24 19:30:00,1,0,0,3,3.3302899999999998,230,24,304,21
