team_id,title,id,match_index,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_att,ppda_def,ppda_allowed_att,ppda_allowed_def
0,Atalanta,8_a,17,a,2.3,3.05,1.95,2.59,11,21,4.0,0.0,1.27,w,2024-08-19,1,0,0,3,-0.64,6.5,10.0,13.0,6.1
0,Atalanta,15_a,31,a,4.04,2.72,3.43,2.31,26,15,1.0,2.0,2.36,l,2024-08-25,1,0,1,3,1.12,10.7,12.8,17.2,10.2
0,Atalanta,21_a,43,a,1.34,2.43,1.14,2.06,13,14,0.0,4.0,0.48,l,2024-08-30,1,0,2,3,-0.92,9.3,10.2,13.3,8.8
0,Atalanta,34_h,68,h,2.95,2.26,2.51,1.92,15,12,3.0,2.0,2.14,w,2024-09-15,2,0,2,6,0.59,8.7,8.8,9.3,8.3
0,Atalanta,49_h,98,h,2.19,2.78,1.86,2.36,13,13,2.0,3.0,1.38,l,2024-09-24,2,0,3,6,-0.5,11.8,7.1,7.3,10.8
0,Atalanta,53_a,107,a,3.48,0.77,2.96,0.66,29,6,1.0,1.0,2.65,d,2024-09-28,2,1,3,7,2.3,9.6,9.8,10.6,9.0
0,Atalanta,63_h,126,h,4.02,1.12,3.42,0.95,23,8,5.0,1.0,2.65,w,2024-10-05,3,1,3,10,2.46,12.1,10.5,11.3,9.4
0,Atalanta,76_a,153,a,3.12,2.05,2.65,1.74,18,12,2.0,0.0,2.31,w,2024-10-20,4,1,3,13,0.91,13.6,11.2,12.3,10.4
0,Atalanta,83_h,166,h,4.15,0.88,3.52,0.75,20,5,6.0,1.0,2.65,w,2024-10-26,5,1,3,16,2.78,11.2,9.8,10.5,8.8
0,Atalanta,94_h,188,h,3.03,1.04,2.58,0.88,18,4,2.0,0.0,2.5,w,2024-10-30,6,1,3,19,1.69,8.0,11.2,13.5,7.9
0,Atalanta,102_a,205,a,1.8,2.02,1.53,1.72,13,15,3.0,0.0,1.64,w,2024-11-03,7,1,3,22,-0.19,13.9,10.4,13.6,10.6
0,Atalanta,114_h,228,h,2.09,2.5,1.77,2.12,13,14,2.0,1.0,1.51,w,2024-11-10,8,1,3,25,-0.35,13.3,10.2,11.1,10.2
0,Atalanta,121_a,243,a,2.82,1.57,2.4,1.33,18,9,3.0,1.0,2.35,w,2024-11-23,9,1,3,28,1.06,12.7,11.0,14.5,9.8
0,Atalanta,137_a,275,a,3.22,0.77,2.74,0.66,19,6,2.0,0.0,2.63,w,2024-12-02,10,1,3,31,2.08,8.8,8.5,9.1,8.7
0,Atalanta,139_h,278,h,3.7,0.92,3.14,0.78,22,4,2.0,1.0,2.65,w,2024-12-06,11,1,3,34,2.36,8.4,11.0,11.6,8.2
0,Atalanta,149_a,299,a,1.7,2.98,1.44,2.53,15,12,1.0,0.0,0.43,w,2024-12-14,12,1,3,37,-1.08,13.6,8.1,8.5,10.4
0,Atalanta,164_h,328,h,3.32,1.4,2.82,1.19,20,9,3.0,2.0,2.48,w,2024-12-22,13,1,3,40,1.63,11.0,9.3,9.9,9.4
0,Atalanta,171_a,343,a,2.42,2.2,2.06,1.87,19,11,1.0,1.0,1.91,d,2024-12-28,13,2,3,41,0.19,12.1,10.8,14.2,10.2
0,Atalanta,187_a,375,a,0.94,2.0,0.8,1.7,6,15,0.0,0.0,0.48,d,2025-01-11,13,3,3,42,-0.9,8.5,8.8,11.2,8.1
0,Atalanta,196_h,392,h,2.99,3.52,2.54,2.99,17,17,1.0,1.0,1.43,d,2025-01-14,13,4,3,43,-0.45,15.1,11.4,15.1,11.4
0,Atalanta,201_h,402,h,2.83,1.2,2.4,1.02,15,6,2.0,3.0,2.43,l,2025-01-18,13,4,4,43,1.38,6.6,11.0,14.5,6.4
0,Atalanta,209_a,419,a,1.36,2.66,1.16,2.26,10,16,2.0,1.0,0.43,w,2025-01-25,14,4,4,46,-1.1,14.5,7.5,7.7,11.0
0,Atalanta,221_h,442,h,4.64,1.06,3.94,0.9,27,4,1.0,1.0,2.65,d,2025-02-01,14,5,4,47,3.04,11.5,12.4,15.1,9.0
0,Atalanta,230_a,461,a,3.02,3.55,2.57,3.02,16,22,5.0,0.0,1.43,w,2025-02-08,15,5,4,50,-0.45,15.4,11.4,15.1,11.6
